MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities
Goddeti Madhavi,Elected,5/23/2019,In office,1,Andhra Pradesh,Araku,Yuvajana Sramika Rythu Congress Party,Female,Graduate Professional,"B.Sc. (Computer), B.P.Ed., Educated at SPACES Degree College and Srinivasa College of Physical Education",27,9,0,0,0.91, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,2,2019-20,,,0,141179,0
Chandrani Murmu,Elected,5/23/2019,In office,1,Odisha,Keonjhar,Biju Janata Dal,Female,Graduate Professional,Information Not Available,Information not available,5,0,0,0.77, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,13-11-2019,2.5,1,1997-98,,,0,340580,0
Balak Nath,Elected,5/23/2019,In office,1,Rajasthan,Alwar,Bharatiya Janata Party,Male,10th Pass,Information Not Available,35,4,0,27,0.74, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,2/12/2019,2.5,1,2019-20,,,0,352929,0
Indra Hang Subba,Elected,5/23/2019,In office,1,Sikkim,Sikkim,Sikkim Krantikari Morcha,Male,Post Graduate,Information Not Available,Information not available,5,0,3,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5,0,3,0.83,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,27-02-2020,2.5,2,1997-98,,,0,478817,0
Pratima Bhoumik,Elected,5/23/2019,In office,1,Tripura,Tripura West,Bharatiya Janata Party,Female,Graduate,Information Not Available,Information not available,11,0,65,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9,0,89,0.92,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,27-02-2020,2.5,1,1997-98,,,0,642398,0
Pramila Bisoyi,Elected,5/23/2019,In office,1,Odisha,Aska,Biju Janata Dal,Female,5th Pass,Information Not Available,71,2,0,10,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-02-2020,2.5,2,-,,,0,732470,0
Achyutananda Samanta,Elected,5/23/2019,In office,1,Odisha,Kandhamal,Biju Janata Dal,Male,Doctorate,"M.Sc. (Chemistry), Ph.D, Educated at Utkal University, KIIT University, Odisha",56,14,0,30,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,0,1244722,0
Asit Kumar Mal,Elected,5/23/2019,In office,1,West Bengal,Bolpur,All India Trinamool Congress,Male,10th Pass,Information Not Available,64,10,0,3,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,2,-,,,0,1310691,0
L. S. Tejasvi Surya,Elected,5/23/2019,In office,1,Karnataka,Bangalore South,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,29,12,0,64,0.91, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,1,2017-18,,,0,1346593,0
S. Venkatesan,Elected,5/23/2019,In office,1,Tamil Nadu,Madurai,Communist Party of India (Marxist),Male,12th Pass,Information Not Available,49,12,0,50,0.82, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,2,,,,0,1811456,0
